year,avg_max_temp,avg_min_temp,total_rainfall,avg_max_wind,hot_days,cold_days,rain_days
2004,18.62896174863388,10.452459016393442,621.2,20.325136612021858,4,13,153
2005,19.69917808219178,10.897808219178081,607.6,20.38986301369863,3,20,147
2006,19.50054794520548,10.232054794520547,356.2,19.781917808219177,9,29,107
2007,20.204383561643837,11.192328767123287,580.7,20.752054794520546,8,25,145
2008,19.333060109289615,10.477595628415301,455.3,20.268852459016394,9,27,151
2009,20.00054794520548,10.737808219178083,431.6,20.436164383561643,12,21,130
2010,19.087671232876712,10.723561643835616,811.1,19.36191780821918,7,30,184
2011,18.908493150684933,10.95068493150685,759.9,19.384383561643837,1,19,175
2012,19.074043715846994,10.851639344262294,614.8,20.74863387978142,5,18,176
2013,19.846301369863014,11.11917808219178,591.9,20.94164383561644,7,18,155
2014,20.045753424657534,11.224657534246575,527.0,20.172328767123286,9,13,154
2015,19.688219178082193,10.774246575342465,430.3,20.323287671232876,7,24,137
2016,19.37568306010929,11.239344262295083,726.9,21.397540983606557,6,15,161
2017,19.95095890410959,10.301369863013699,657.5,21.41315068493151,5,41,191
2018,20.209041095890413,10.423561643835615,627.4,22.263287671232877,10,40,171
2019,20.495616438356162,10.330136986301369,597.0,22.663013698630138,17,28,181
2020,19.064207650273225,10.008743169398906,888.8,21.976775956284154,3,37,196
2021,18.952328767123287,9.87972602739726,833.9,22.044383561643834,4,24,209
2022,19.263287671232877,10.316164383561643,1124.3,20.70876712328767,3,39,223
2023,19.44082191780822,10.558356164383563,778.4,22.073424657534247,5,24,201
